SMA_12 > SMA_26,EMA_12 > SMA_12,EMA_12 > SMA_26,TBR_12 > 0,VOL_12 > 0.02,MOM_12 > 0,Increase in 14 days
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,1
1,1,1,0,0,1,1
1,1,1,0,0,1,1
1,0,1,0,0,1,1
1,1,1,1,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,0,1
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,1,0,0
1,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,0,1,1,0
1,1,1,0,1,1,0
1,0,1,1,1,1,0
1,1,1,0,1,1,0
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,1,0,1,1
0,1,0,1,0,1,1
0,1,0,1,0,1,1
0,0,0,1,0,1,1
0,1,0,1,0,1,1
0,1,0,1,0,1,0
0,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,1,1
0,1,0,0,0,1,1
0,1,0,1,0,1,1
0,1,1,1,0,1,1
0,1,1,0,0,1,1
1,1,1,0,0,1,1
1,1,1,1,1,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,1,0,1,1
1,1,1,1,0,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,0,1,1,0
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,1
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,1,1,1,0,1,0
1,1,1,1,1,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,0,1,1,1,1,0
1,1,1,0,1,1,0
1,1,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,0,1,0,0,1,0
1,0,0,0,0,0,0
0,1,1,0,0,1,0
0,1,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,1,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,1,0
0,0,0,0,1,1,1
0,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,1,0,1,1
0,1,1,1,0,1,1
0,1,1,0,0,1,1
0,1,1,0,0,1,1
0,1,1,1,0,1,1
0,1,1,0,0,1,1
1,1,1,0,1,1,1
1,1,1,0,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,0,1,1,0
1,0,1,0,1,1,1
1,0,1,0,1,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
1,1,1,0,1,1,0
1,1,1,0,1,1,0
1,1,1,0,1,1,0
1,1,1,0,1,1,0
1,0,1,0,1,1,0
1,1,1,1,1,1,0
1,0,1,0,1,0,0
1,0,1,0,1,1,1
1,0,1,0,1,0,1
1,0,1,0,0,0,1
1,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,1,0,1,1
0,1,0,1,0,1,1
0,1,0,0,0,1,1
0,0,0,0,0,1,1
0,1,0,1,0,1,1
0,1,0,0,0,1,1
0,1,0,0,0,1,1
0,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,0,0,1,1
1,0,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,1,1,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,0
1,0,1,0,1,0,1
1,0,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,1,1
0,1,0,0,0,0,1
0,1,0,0,0,1,1
0,1,0,0,0,1,1
0,1,0,0,0,0,1
0,1,0,0,0,1,1
0,1,0,0,0,1,1
0,1,1,0,0,1,1
0,1,1,0,0,1,1
0,1,1,0,0,1,1
1,0,1,0,0,0,1
1,0,1,0,0,0,1
1,0,1,0,0,0,1
1,1,1,1,0,1,1
1,1,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,0,1
1,0,1,0,0,1,1
1,0,1,0,0,0,1
1,0,1,0,0,0,1
1,0,1,0,1,0,1
1,0,1,0,1,1,1
1,0,1,0,1,0,1
1,1,1,0,1,0,1
1,1,1,0,1,1,1
1,0,1,1,1,1,1
1,0,1,0,1,1,1
1,1,1,1,1,1,1
1,1,1,0,1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,0,0,1,1
1,1,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,0,1,1,0,1,1
1,0,1,0,0,1,1
1,0,1,0,0,1,1
1,1,1,1,0,1,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
1,1,1,0,1,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
